                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.144,                 2.7105,                 1.6365,                0.57778,                 0.6726,                0.62471,                0.43225,                 1.1608,                 1.7246,                  1.722,                0.07007,              0.0033256,              0.0033256
                      1,                 1.0501,                 1.6324,                 1.4434,                 0.7005,                0.88267,                0.82935,                0.59845,                 1.0836,                  1.079,                 1.5673,               0.039938,              0.0065271,              0.0065271
                      2,                 1.0521,                  1.396,                 1.4124,                0.75791,                0.85839,                 0.8692,                0.62292,                 1.1134,                0.95125,                 1.5858,              0.0096742,              0.0095965,              0.0095965
                      3,                 1.0576,                 1.2865,                 1.3963,                0.71535,                 0.8258,                0.83545,                 0.5729,                  1.167,                 1.0174,                 1.6683,               0.009406,               0.009406,               0.009406
                      4,                 1.0276,                 1.1569,                 1.3694,                0.84708,                0.86877,                0.90501,                0.65438,                  1.102,                0.74808,                 1.5663,               0.009406,               0.009406,               0.009406
                      5,                 1.0095,                 1.0781,                 1.3527,                0.84907,                0.91832,                0.92351,                0.66781,                 1.0494,                0.68794,                 1.5232,               0.009208,               0.009208,               0.009208
                      6,                0.99622,                 1.0322,                 1.3425,                0.86741,                0.90758,                0.93071,                0.67827,                 1.0334,                0.64746,                 1.5006,                0.00901,                0.00901,                0.00901
                      7,                0.98052,                0.97239,                 1.3335,                  0.819,                0.88654,                 0.9222,                0.68518,                 1.0499,                0.66944,                 1.5135,               0.008812,               0.008812,               0.008812
                      8,                0.97169,                0.94225,                 1.3267,                0.88833,                0.88028,                0.92818,                0.69844,                 1.0122,                0.59945,                 1.4748,               0.008614,               0.008614,               0.008614
                      9,                0.95689,                0.91915,                 1.3186,                0.86025,                0.93353,                0.95681,                0.72229,                 1.0153,                0.57165,                 1.4835,               0.008416,               0.008416,               0.008416
                     10,                 0.9449,                0.87259,                 1.3103,                0.90933,                0.86059,                0.93346,                0.71143,                 1.0028,                0.56985,                 1.4592,               0.008218,               0.008218,               0.008218
                     11,                0.93898,                0.85785,                 1.3025,                0.90341,                0.91582,                0.96451,                0.73229,                 1.0091,                0.54965,                 1.4547,                0.00802,                0.00802,                0.00802
                     12,                0.92851,                0.83383,                    1.3,                0.92082,                0.95569,                0.97177,                0.74761,                0.96956,                0.50684,                 1.4209,               0.007822,               0.007822,               0.007822
                     13,                 0.9223,                0.81675,                 1.2922,                0.92309,                0.95392,                0.96617,                0.74137,                0.95902,                 0.5218,                 1.4166,               0.007624,               0.007624,               0.007624
                     14,                0.91443,                0.79238,                 1.2831,                0.94108,                0.92744,                0.96263,                0.73855,                0.96382,                0.48633,                 1.4146,               0.007426,               0.007426,               0.007426
